,FIPS,Countyname,ST_Name,Black,Med_HH_Inc,ICU_Capacity,State_Test,Hisp,Population_Density,AVG_VENTILATOR_USAGE,Asian,Poverty,Deaths,Confirmed,Over_65,Population,KMeans_Cluster,Hierarchical_cluster,DBSCAN_cluster,MeanShift_cluster
1439,28079,Leake,Mississippi,0.4275495973728013,82.2874381668552,0.0,1726829,0.04764046965675469,1.0338613275834165e-05,1.0,0.005263394664627288,0.22524629987853706,73,2609,0.1625804129740429,22229.0,2,2,1,2
1440,28081,Lee,Mississippi,0.31768489563470875,112.15146070406601,0.0005847507182264258,1726829,0.028589225332418068,4.560399063450968e-05,15.0,0.010589072788752448,0.15598861007296672,169,9842,0.15727251925863778,78666.0,0,0,3,5
1441,28083,Leflore,Mississippi,0.6251405506703186,59.304363257248106,0.0009225890154245349,1726829,0.022286290903848927,1.5289732876792075e-05,5.0,0.005074239584834943,0.27767046273605306,124,3467,0.11633270866368747,34685.0,2,2,1,2
1442,28085,Lincoln,Mississippi,0.32212019542056625,94.50988221201841,0.0002354464653599388,1726829,0.0044734828418388365,1.615057329288361e-05,4.0,0.004856083348048736,0.19318382482782975,107,3868,0.1688151156630761,33978.0,2,2,1,2
1443,28087,Lowndes,Mississippi,0.4479229796886634,111.88970963376998,0.0002770514796280584,1726829,0.020848123842011398,2.995774791348007e-05,4.0,0.010424061921005695,0.17031739710134888,144,6248,0.1585427092171564,57751.0,2,2,1,2
1444,28089,Madison,Mississippi,0.4592670617649782,159.322109092522,8.102602092786371e-05,1726829,0.03626493193814242,3.178859335764157e-05,2.0,0.031241318640614867,0.12201361237151588,209,9872,0.15518798036855266,86392.0,0,0,3,5
1445,28091,Marion,Mississippi,0.3216628467557101,71.182981743972,0.0,1726829,0.01588556073658421,1.2979492666480715e-05,2.0,0.00410969730498696,0.22370188888010747,79,2652,0.17782344108116652,25306.0,2,2,1,2
1446,28093,Marshall,Mississippi,0.4758864056461099,93.68248264235493,0.0,1726829,0.03682854422225956,1.3079498803891347e-05,0.0,0.0,0.189800033607797,100,4259,0.16924326443734947,35706.0,2,2,1,2
1447,28095,Monroe,Mississippi,0.3014286490303656,93.95088840087841,0.00024444565158346463,1726829,0.012222282579173231,1.2658947667449615e-05,1.5,0.000841979466565267,0.1686946602205443,131,4054,0.18390461187462653,36818.0,2,2,1,2
1448,28097,Montgomery,Mississippi,0.3915077683615819,88.3742596659346,0.0,1726829,0.012358757062146892,7.431458558478833e-06,2.0,0.0025600282485875704,0.2017125706214689,42,1254,0.1843220338983051,11328.0,2,2,1,2
1449,28099,Neshoba,Mississippi,0.20775576441950094,84.2638805705286,0.0001352356481168436,1726829,0.021164378930286026,1.4092213962501896e-05,0.5,0.005375617012644533,0.2105619041179255,176,3974,0.15555480424639934,29578.0,2,2,1,2
1450,28101,Newton,Mississippi,0.29337667614790736,79.7630930990883,0.0,1726829,0.018420696193959096,1.0487820600814447e-05,1.0,0.005011512935121225,0.18795430944963654,59,2444,0.1554471985191205,22149.0,2,2,1,2
1451,28103,Noxubee,Mississippi,0.6564359802754633,74.9406623633016,0.0,1726829,0.012752933174630166,4.5409553940729134e-06,0.0,0.0004250977724876722,0.25412344839313045,33,1257,0.14504335997279375,11762.0,2,2,1,2
1452,28105,Oktibbeha,Mississippi,0.4360283417229287,89.7340342938267,0.00014314001479113486,1726829,0.019968032063363315,2.4334378542839552e-05,2.0,0.03809910060357373,0.3355917646778157,97,4545,0.13030512679819645,41917.0,2,2,1,2
1453,28107,Panola,Mississippi,0.4742776805439991,84.9670592932721,8.607580409146989e-05,1726829,0.020055662353312485,1.2971783834510484e-05,2.0,0.00014345967348578312,0.222018190686598,103,4429,0.15060396522537514,34853.0,2,2,1,2
1454,28109,Pearl River,Mississippi,0.1279021220207301,104.0371775249,0.00010891466535969069,1726829,0.031022527183285232,1.9111187484162886e-05,1.5,0.002486884859046271,0.1772949227613498,139,4409,0.184501443119316,55089.0,2,0,2,4
1455,28111,Perry,Mississippi,0.19752573895715708,94.2059847829462,0.0,1726829,0.015028229823978743,5.214683336907538e-06,0.0,0.0014945200929923613,0.19578213218199933,38,1250,0.17170375290601128,12044.0,2,0,2,4
1456,28113,Pike,Mississippi,0.5459774522586088,70.5042035447306,0.00046746208261661936,1726829,0.01605440089986451,2.683133911289405e-05,3.0,0.003195541580387044,0.2566658997366873,104,3169,0.16798322979778613,39117.0,2,2,1,2
